title,source,published,summary,tags,url
The shock of seeing your body used in deepfake porn,Hacker News,"Sat, 16 May 2026 17:02:23 +0000","Adult performers are concerned that their content from years ago is being used without consent to train AI models, which they couldn't have anticipated when signing contracts that allowed publishers to use their work with future technologies. AI-generated deepfakes are also causing financial harm through scams where fans are defrauded by fake versions of performers, while performers lose revenue to AI-created content depicting them in scenarios they never consented to film. These AI replicas damage performers' reputations, mental health, and livelihoods, as the technology creates permanent content that violates their boundaries and undermines their ability to control their own image and work.",privacy & consent,https://www.technologyreview.com/2026/05/14/1137161/ai-porn-nonconsensual-deepfakes-takedown-piracy-copyright/
The Download: deepfake porn's stolen bodies and AI sharing private numbers,Hacker News,"Sat, 16 May 2026 07:04:39 +0000","Adult content creators say AI systems are training on their work and generating explicit content without consent, threatening their rights and livelihoods with little legal protection. Separately, AI chatbots like Gemini are exposing people's personal phone numbers and contact information by surfacing data from their training sets. Experts say there are few options for victims to stop these privacy breaches or prevent their information from being used.",privacy & consent,https://www.technologyreview.com/2026/05/14/1137257/the-download-deepfake-porn-bodies-ai-exposing-phone-numbers/
The Chinese Realtime Deepfake Software Powering Scams Around the World,Hacker News,"Fri, 08 May 2026 23:09:50 +0000","A journalist witnessed a real-time deepfake demonstration on a Microsoft Teams call where another person's face was replaced with his own using a gaming laptop and specialized software. The deepfake was convincingly realistic, maintaining the illusion even as the person moved and touched their face. The technology represents cutting-edge tools currently being sought after by scammers for fraudulent purposes.",crime & scams,https://www.404media.co/hello-boss-inside-the-chinese-realtime-deepfake-software-powering-scams-around-the-world/
Show HN: DeepFake Detector Flags Swalwell Video as Fake,Hacker News,"Wed, 15 Apr 2026 15:10:18 +0000",I don't see any news article attached to your message. Could you please share the article you'd like me to summarize?,technology,https://graomelo.github.io/
The Deepfake Nudes Crisis in Schools Is Worse Than You Thought,Hacker News,"Wed, 15 Apr 2026 14:50:29 +0000","Teenage boys worldwide are using AI ""nudify"" apps to create fake nude images of female classmates from their social media photos, with incidents reported at around 90 schools across 28 countries affecting over 600 students since 2023. The deepfake images constitute child sexual abuse material, and experts believe the true scale is much larger, with one survey estimating 1.2 million children were targeted last year. Schools and law enforcement are often unprepared to handle these cases, which leave victims feeling humiliated and violated.",crime & scams,https://www.wired.com/story/deepfake-nudify-schools-global-crisis/
Australian pleads guilty to creating deepfake porn in landmark case,Hacker News,"Wed, 15 Apr 2026 07:43:31 +0000","Yeates initially faced 20 Commonwealth charges, but some were withdrawn by the CDPP after he entered guilty pleas. He pleaded guilty to creating or altering sexual material without consent, distributing it, and using a carriage service in a harassing or offensive way.",crime & scams,https://www.bbc.com/news/articles/c39333x0xeno
Whitepaper: Physics as a Service – edge networks as deepfake detectors [pdf],Hacker News,"Fri, 10 Apr 2026 19:41:09 +0000",This appears to be a feedback form template rather than a news article. It contains standard form fields for users to submit feedback and optionally include their email address for follow-up contact.,technology,https://github.com/Berlin-West/Topology/blob/main/Whitepaper%20EDGE.pdf
Google makes it easy to deepfake yourself,Hacker News,"Thu, 09 Apr 2026 13:02:20 +0000","YouTube Shorts is launching an AI feature that allows creators to make realistic digital avatars of themselves by recording a ""live selfie"" with specific prompts, which can then be used to generate new videos up to eight seconds long. The avatars come with restrictions including use only in creators' own videos, automatic watermarking as AI-generated content, and deletion after three years of inactivity. The rollout will be gradual and limited to creators 18 and older, coming as competitor OpenAI recently shut down its Sora video generation tool due to costs and controversies.",technology,https://www.theverge.com/ai-artificial-intelligence/909104/youtube-shorts-make-ai-avatar
"AI company's breached biometrics, ID document images make deepfake fraud easier",Hacker News,"Thu, 09 Apr 2026 07:37:53 +0000","Mercor, a $10 billion AI company that supplies training data to major firms like Anthropic, OpenAI and Meta, suffered a major data breach exposing ID documents and user biometric data including faces and voices. The breach was part of a wider supply chain attack on the open-source library LiteLLM, linked to hacking groups TeamPCP and Lapsus$, who claim to have stolen up to four terabytes of data. Security experts warn the stolen biometric data could enable widespread deepfake creation and fraud, while the incident highlights vulnerabilities in open-source components used across the AI industry.",crime & scams,https://www.biometricupdate.com/202604/ai-companys-breached-biometrics-id-document-images-make-deepfake-fraud-easier
"Show HN: Real-time deepfake in the browser, no GPU needed",Hacker News,"Wed, 08 Apr 2026 14:26:50 +0000","The real-time face swapping technology demonstrated is a form of deepfake AI that can manipulate visual content instantly. While this particular demo serves educational purposes, the same technology poses risks as it can be misused to create convincing fake videos. The demonstration aims to raise awareness about how easily artificial intelligence can alter visual media.",crime & scams,https://www.callstrike.ai/deepfake-security-training
